link,start,end,video,utterance
https://www.youtube.com/watch?v=_bg0TrqHcBs,0,16.2317160648,1f61459b0,utterance_1.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,16.5650161893,21.8644881694,1f61459b0,utterance_2.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,22.1644582814,29.4304009963,1f61459b0,utterance_3.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,29.630381071,33.0967023661,1f61459b0,utterance_4.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,33.3633424658,38.2628542964,1f61459b0,utterance_5.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,38.9627845579,55.6277907846,1f61459b0,utterance_6.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,56.2277310087,61.6605230386,1f61459b0,utterance_7.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,62.060483188,63.9602938979,1f61459b0,utterance_8.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,64.1602739726,78.8588094645,1f61459b0,utterance_9.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,79.558739726,83.1917110834,1f61459b0,utterance_10.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,83.525011208,84.7582216687,1f61459b0,utterance_11.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,84.924871731,87.3912926526,1f61459b0,utterance_12.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,87.7245927771,92.9240747198,1f61459b0,utterance_13.mp4
https://www.youtube.com/watch?v=_bg0TrqHcBs,93.0907247821,104.3229389788,1f61459b0,utterance_14.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,31.7326124489,39.4991026806,a1b44e5f3,utterance_10.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,55.5320717856,61.0986119945,a1b44e5f3,utterance_14.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,64.865193094,70.3317355747,a1b44e5f3,utterance_16.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,82.1314675148,83.4647705588,a1b44e5f3,utterance_19.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,85.16473194,88.0313334848,a1b44e5f3,utterance_21.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,88.1979963653,91.9645774648,a1b44e5f3,utterance_22.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,93.5645411177,101.2976987733,a1b44e5f3,utterance_23.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,112.6974398001,113.6974170831,a1b44e5f3,utterance_29.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,114.0974079964,114.630729214,a1b44e5f3,utterance_30.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,117.1306724216,120.6639254884,a1b44e5f3,utterance_32.mp4
https://www.youtube.com/watch?v=XPXSWf1h0h4,122.497217174,125.4971490232,a1b44e5f3,utterance_33.mp4
https://www.youtube.com/watch?v=pZSp0HSzGqQ,1.1678267843,3.0863993585,a7c5bc08c,utterance_1.mp4
https://www.youtube.com/watch?v=pZSp0HSzGqQ,4.087393745,8.466744186,a7c5bc08c,utterance_2.mp4
https://www.youtube.com/watch?v=pZSp0HSzGqQ,8.7587008821,11.9285164395,a7c5bc08c,utterance_3.mp4
https://www.youtube.com/watch?v=pZSp0HSzGqQ,12.554137931,13.8887971131,a7c5bc08c,utterance_4.mp4
https://www.youtube.com/watch?v=pZSp0HSzGqQ,14.8897914996,16.8500721732,a7c5bc08c,utterance_5.mp4
